epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7619,0.95315,3.28701,1.22431,0.00545,0.88205,0.33999,0.28562,0.64984,3.42298,0.92443,0.00010003,0.00010003,0.00010003
2,60.3826,0.88213,2.55381,1.14215,0.00624,1,0.47472,0.37254,0.74082,3.02813,0.89007,0.000210106,0.000210106,0.000210106
3,86.9027,0.8726,1.86263,1.12044,0.92279,0.35275,0.72728,0.57693,0.7454,2.79375,0.89738,0.000315655,0.000315655,0.000315655
4,114.14,0.84283,1.65498,1.1243,0.94107,0.38194,0.92673,0.72518,0.71582,2.65418,0.88262,0.000416676,0.000416676,0.000416676
5,139.95,0.85318,1.40244,1.10026,0.95473,0.64917,0.97668,0.79021,0.71353,2.39151,0.88049,0.000513171,0.000513171,0.000513171
6,166.518,0.85742,1.37818,1.15736,0.94688,0.8149,0.98616,0.79042,0.75882,2.09825,0.89359,0.000605139,0.000605139,0.000605139
7,192.038,0.91297,1.40085,1.13506,0.89593,0.74714,0.93233,0.70598,0.9223,2.10618,0.98775,0.000692579,0.000692579,0.000692579
8,219.065,0.79604,1.31708,1.06559,0.88841,0.7614,0.92176,0.67092,0.92328,2.22148,0.99669,0.000775493,0.000775493,0.000775493
9,244.94,0.90761,1.40152,1.12766,0.9154,0.79776,0.91508,0.70154,0.88106,1.9379,0.99084,0.000853879,0.000853879,0.000853879
10,272.556,0.91063,1.38058,1.13907,0.93216,0.88649,0.93365,0.73307,0.85581,1.80132,0.98831,0.000927738,0.000927738,0.000927738
11,299.795,0.87958,1.17807,1.09514,0.88873,0.90697,0.92817,0.71892,0.87001,1.48603,0.98582,0.00099707,0.00099707,0.00099707
12,326.902,0.80026,1.226,1.05439,0.81401,0.91373,0.94144,0.66292,0.96868,1.80149,1.07098,0.00106188,0.00106188,0.00106188
13,354.617,0.86476,1.24164,1.1014,0.96379,0.87936,0.9605,0.72036,0.8922,1.41538,1.00977,0.00108947,0.00108947,0.00108947
14,382.456,0.89394,1.15231,1.09119,0.93787,0.86571,0.93781,0.73349,0.87847,1.39591,1.00798,0.00106118,0.00106118,0.00106118
15,409.978,0.90307,1.28617,1.13081,0.95681,0.84674,0.9398,0.75567,0.84795,1.45885,0.98372,0.00103288,0.00103288,0.00103288
16,436.481,0.77421,1.1713,1.04904,0.97613,0.85323,0.9704,0.74845,0.83879,1.26654,0.9852,0.00100459,0.00100459,0.00100459
17,464.903,0.76702,1.09207,1.05221,0.93543,0.93173,0.95398,0.75695,0.82396,1.18853,0.97527,0.000976293,0.000976293,0.000976293
18,490.674,0.76646,1.0747,1.04663,0.90929,0.95007,0.96094,0.76133,0.81722,1.17437,0.98975,0.000947999,0.000947999,0.000947999
19,517.508,0.74877,1.05418,1.05191,0.87461,0.8805,0.94644,0.73275,0.83099,1.20774,0.99489,0.000919704,0.000919704,0.000919704
20,544.807,0.79581,1.21309,1.06371,0.93737,0.84749,0.95784,0.76536,0.80161,1.19138,0.98751,0.00089141,0.00089141,0.00089141
21,571.436,0.77371,1.01422,1.04563,0.92611,0.75961,0.92823,0.74776,0.78073,1.22704,0.9754,0.000863116,0.000863116,0.000863116
22,597.421,0.76892,0.958,1.04341,0.95231,0.87407,0.93073,0.72634,0.82746,1.11513,1.00332,0.000834822,0.000834822,0.000834822
23,623.555,0.76484,0.98106,1.03877,0.94109,0.89618,0.9435,0.76136,0.78249,1.04775,0.95974,0.000806528,0.000806528,0.000806528
24,649.73,0.74121,0.94359,1.03949,0.974,0.87745,0.94047,0.75978,0.79056,1.00084,0.97047,0.000778233,0.000778233,0.000778233
25,675.545,0.76668,0.96541,1.03512,0.9429,0.91967,0.93519,0.73207,0.81461,1.01369,0.99508,0.000749939,0.000749939,0.000749939
26,701.463,0.71728,0.90873,1.02903,0.94443,0.92142,0.95246,0.74863,0.75977,1.04402,0.95211,0.000721645,0.000721645,0.000721645
